
Mils, PCT
  29215 , 15.20 
  29317 , 15.28 
  29417 , 15.35 
  29518 , 15.43 
  29619 , 15.50 
  29720 , 15.58 
  29820 , 15.65 
  29922 , 15.73 
  30022 , 15.80 
  30123 , 15.88 
  30224 , 15.95 
  30324 , 16.03 
  30426 , 16.10 
  30526 , 16.17 
  30627 , 16.25 
  30728 , 16.32 
  30828 , 16.40 
  30929 , 16.47 
  31030 , 16.54 
  31131 , 16.62 
  31232 , 16.69 
  31333 , 16.77 
  31433 , 16.84 
  31534 , 16.91 
  31635 , 16.99 
  31735 , 17.06 
  31837 , 17.14 
  31937 , 17.21 
  32038 , 17.28 
  32139 , 17.35 
  32240 , 17.42 
  32340 , 17.49 
  32441 , 17.55 
  32542 , 17.62 
  32643 , 17.68 
  32744 , 17.75 
  32844 , 17.81 
  32946 , 17.87 
  33046 , 17.94 
  33146 , 18.00 
  33248 , 18.06 
  33348 , 18.12 
  33449 , 18.18 
  33550 , 18.24 
  33651 , 18.30 
  33752 , 18.36 
  33852 , 18.42 
  33953 , 18.48 
  34054 , 18.54 
  34155 , 18.60 
  34255 , 18.66 
  34357 , 18.72 
  34457 , 18.78 
  34558 , 18.84 
  34659 , 18.90 
  34759 , 18.96 
  34861 , 19.02 
  34961 , 19.08 
  35062 , 19.13 
  35163 , 19.19 
  35264 , 19.25 
  35364 , 19.31 
  35465 , 19.37 
  35566 , 19.43 
  35666 , 19.48 
  35768 , 19.54 
  35868 , 19.60 
  35970 , 19.66 
  36070 , 19.72 
  36170 , 19.77 
  36272 , 19.83 
  36372 , 19.89 
  36473 , 19.95 
  36574 , 20.01 
  36675 , 20.06 
  36775 , 20.12 
  36876 , 20.18 
  36977 , 20.24 
  37078 , 20.29 
  37179 , 20.35 
  37279 , 20.41 
  37381 , 20.46 
  37481 , 20.52 
  37582 , 20.57 
  37683 , 20.63 
  37783 , 20.69 
  37884 , 20.74 
  37985 , 20.80 
  38086 , 20.85 
  38187 , 20.91 
  38288 , 20.96 
  38388 , 21.02 
  38489 , 21.07 
  38590 , 21.13 
  38690 , 21.18 
  38792 , 21.24 
  38892 , 21.29 
  38993 , 21.34 
  39094 , 21.40 
  39194 , 21.45 
  39296 , 21.51 
  39396 , 21.56 
  39497 , 21.61 
  39598 , 21.67 
  39699 , 21.72 
  39799 , 21.77 
  39901 , 21.83 
  40001 , 21.88 
  40101 , 21.93 
  40203 , 21.98 
  40303 , 22.03 
  40404 , 22.09 
  40505 , 22.14 
  40606 , 22.19 
  40707 , 22.24 
  40807 , 22.29 
  40908 , 22.35 
  41009 , 22.40 
  41110 , 22.45 
  41210 , 22.50 
  41312 , 22.55 
  41412 , 22.61 
  41512 , 22.66 
  41614 , 22.71 
  41714 , 22.76 
  41816 , 22.81 
  41916 , 22.86 
  42017 , 22.91 
  42118 , 22.96 
  42219 , 23.01 
  42319 , 23.06 
  42420 , 23.11 
  42521 , 23.16 
  42621 , 23.21 
  42723 , 23.26 
  42823 , 23.31 
  42925 , 23.36 
  43025 , 23.41 
  43125 , 23.46 
  43227 , 23.51 
  43327 , 23.56 
  43428 , 23.61 
  43529 , 23.66 
  43630 , 23.71 
  43730 , 23.76 
  43831 , 23.81 
  43932 , 23.87 
  44033 , 23.92 
  44134 , 23.97 
  44234 , 24.02 
  44336 , 24.07 
  44436 , 24.12 
  44537 , 24.18 
  44638 , 24.23 
  44738 , 24.28 
  44839 , 24.33 
  44940 , 24.39 
  45041 , 24.44 
  45142 , 24.50 
  45243 , 24.54 
  45343 , 24.60 
  45444 , 24.66 
  45545 , 24.71 
  45645 , 24.77 
  45747 , 24.82 
  45847 , 24.87 
  45948 , 24.91 
  46049 , 24.96 
  46149 , 25.01 
  46251 , 25.05 
  46351 , 25.09 
  46452 , 25.12 
  46553 , 25.15 
  46654 , 25.18 
  46754 , 25.18 
  46855 , 25.19 
  46956 , 25.19 
  47056 , 25.20 
  47158 , 25.20 
  47258 , 25.20 
  47360 , 25.21 
  47460 , 25.21 
  47561 , 25.22 
  47662 , 25.22 
  47762 , 25.23 
  47863 , 25.23 
  47964 , 25.24 
  48065 , 25.24 
  48165 , 25.24 
  48267 , 25.25 
  48367 , 25.25 
  48467 , 25.26 
  48569 , 25.26 
  48669 , 25.27 
  48771 , 25.27 
  48871 , 25.27 
  48972 , 25.28 
  49073 , 25.28 
  49174 , 25.29 
  49274 , 25.29 
  49375 , 25.30 
  49476 , 25.30 
  49576 , 25.30 
  49678 , 25.31 
  49778 , 25.31 
  49880 , 25.32 
  49980 , 25.32 
  50080 , 25.33 
  50182 , 25.33 
  50282 , 25.33 
  50383 , 25.34 
  50484 , 25.34 
  50585 , 25.35 
  50685 , 25.35 
  50786 , 25.36 
  50887 , 25.36 
  50988 , 25.37 
  51089 , 25.37 
  51189 , 25.37 
  51291 , 25.38 
  51391 , 25.38 
  51492 , 25.39 
  51593 , 25.39 
  51693 , 25.40 
  51794 , 25.40 
  51895 , 25.40 
  51996 , 25.41 
  52097 , 25.41 
  52198 , 25.42 
  52298 , 25.42 
  52399 , 25.42 
  52500 , 25.43 
  52600 , 25.43 
  52702 , 25.44 
  52802 , 25.44 
  52903 , 25.44 
  53004 , 25.45 
  53105 , 25.45 
  53206 , 25.46 
  53306 , 25.46 
  53407 , 25.46 
  53508 , 25.47 
  53609 , 25.47 
  53709 , 25.51 
  53811 , 25.57 
  53911 , 25.62 
  54011 , 25.68 
  54113 , 25.73 
  54213 , 25.78 
  54315 , 25.83 
  54415 , 25.87 
  54516 , 25.90 
  54617 , 25.94 
  54717 , 25.95 
  54818 , 25.97 
  54919 , 25.97 
  55020 , 25.98 
  55120 , 25.99 
  55222 , 25.99 
  55322 , 25.99 
  55424 , 26.00 
  55524 , 26.00 
  55624 , 26.00 
  55726 , 26.01 
  55826 , 26.01 
  55927 , 26.01 
  56028 , 26.02 
  56129 , 26.02 
  56229 , 26.03 
  56330 , 26.03 
  56431 , 26.03 
  56531 , 26.04 
  56633 , 26.04 
  56733 , 26.05 
  56835 , 26.05 
  56935 , 26.05 
  57035 , 26.06 
  57137 , 26.06 
  57237 , 26.07 
  57338 , 26.07 
  57439 , 26.07 
  57540 , 26.08 
  57640 , 26.08 
  57741 , 26.09 
  57842 , 26.09 
  57943 , 26.09 
  58044 , 26.10 
  58144 , 26.10 
  58246 , 26.11 
  58346 , 26.11 
  58446 , 26.11 
  58548 , 26.12 
  58648 , 26.12 
  58749 , 26.13 
  58850 , 26.13 
  58951 , 26.13 
  59052 , 26.14 
  59152 , 26.14 
  59253 , 26.15 
  59354 , 26.15 
  59455 , 26.15 
  59555 , 26.16 
  59657 , 26.16 
  59757 , 26.17 
  59858 , 26.17 
  59959 , 26.17 
  60059 , 26.18 
  60161 , 26.18 
  60261 , 26.19 
  60362 , 26.19 
  60463 , 26.19 
  60564 , 26.20 
  60664 , 26.20 
  60765 , 26.21 
  60866 , 26.21 
  60966 , 26.21 
  61068 , 26.22 
  61168 , 26.22 
  61270 , 26.23 
  61370 , 26.23 
  61471 , 26.23 
  61572 , 26.24 
  61672 , 26.24 
  61773 , 26.25 
  61874 , 26.25 
  61975 , 26.25 
  62075 , 26.26 
  62177 , 26.26 
  62277 , 26.27 
  62377 , 26.27 
  62479 , 26.27 
  62579 , 26.28 
  62681 , 26.28 
  62781 , 26.29 
  62882 , 26.29 
  62983 , 26.29 
  63084 , 26.30 
  63184 , 26.30 
  63285 , 26.31 
  63386 , 26.31 
  63486 , 26.31 
  63588 , 26.32 
  63688 , 26.32 
  63790 , 26.33 
  63890 , 26.33 
  63990 , 26.34 
  64092 , 26.34 
  64192 , 26.34 
  64293 , 26.35 
  64394 , 26.35 
  64495 , 26.36 
  64595 , 26.36 
  64696 , 26.36 
  64797 , 26.37 
  64898 , 26.37 
  64999 , 26.38 
  65099 , 26.38 
  65201 , 26.39 
  65301 , 26.39 
  65402 , 26.39 
  65503 , 26.40 
  65603 , 26.40 
  65704 , 26.41 
  65805 , 26.41 
  65906 , 26.42 
  66007 , 26.42 
  66108 , 26.43 
  66208 , 26.43 
  66309 , 26.43 
  66410 , 26.44 
  66510 , 26.44 
  66612 , 26.45 
  66712 , 26.45 
  66813 , 26.46 
  66914 , 26.46 
  67014 , 26.46 
  67116 , 26.47 
  67216 , 26.47 
  67317 , 26.48 
  67418 , 26.48 
  67519 , 26.49 
  67619 , 26.49 
  67721 , 26.50 
  67821 , 26.51 
  67921 , 26.51 
  68023 , 26.55 
  68123 , 26.60 
  68225 , 26.66 
  68325 , 26.71 
  68426 , 26.77 
  68527 , 26.83 
  68627 , 26.89 
  68728 , 26.95 
  68829 , 27.01 
  68930 , 27.07 
  69030 , 27.13 
  69132 , 27.19 
  69232 , 27.25 
  69332 , 27.31 
  69434 , 27.36 
  69534 , 27.42 
  69636 , 27.48 
  69736 , 27.54 
  69837 , 27.60 
  69938 , 27.66 
  70039 , 27.71 
  70139 , 27.77 
  70240 , 27.83 
  70341 , 27.89 
  70441 , 27.95 
  70543 , 28.00 
  70643 , 28.06 
  70745 , 28.12 
  70845 , 28.18 
  70945 , 28.24 
  71047 , 28.29 
  71147 , 28.35 
  71248 , 28.41 
  71349 , 28.47 
  71450 , 28.53 
  71550 , 28.58 
  71651 , 28.64 
  71752 , 28.70 
  71853 , 28.76 
  71954 , 28.82 
  72054 , 28.87 
  72156 , 28.93 
  72256 , 28.99 
  72357 , 29.05 
  72458 , 29.11 
  72558 , 29.16 
  72659 , 29.22 
  72760 , 29.28 
  72861 , 29.34 
  72962 , 29.40 
  73063 , 29.45 
  73163 , 29.51 
  73264 , 29.57 
  73365 , 29.63 
  73465 , 29.69 
  73567 , 29.74 
  73667 , 29.80 
  73768 , 29.86 
  73869 , 29.92 
  73969 , 29.98 
  74071 , 30.03 
  74171 , 30.09 
  74272 , 30.15 
  74373 , 30.21 
  74474 , 30.27 
  74574 , 30.32 
  74676 , 30.38 
  74776 , 30.44 
  74876 , 30.50 
  74978 , 30.56 
  75078 , 30.61 
  75180 , 30.67 
  75280 , 30.73 
  75381 , 30.79 
  75482 , 30.85 
  75582 , 30.90 
  75683 , 30.96 
  75784 , 31.02 
  75885 , 31.08 
  75985 , 31.14 
  76087 , 31.19 
  76187 , 31.25 
  76289 , 31.31 
  76389 , 31.37 
  76489 , 31.43 
  76591 , 31.48 
  76691 , 31.54 
  76792 , 31.60 
  76893 , 31.66 
  76994 , 31.72 
  77094 , 31.77 
  77195 , 31.83 
  77296 , 31.89 
  77396 , 31.95 
  77498 , 32.01 
  77598 , 32.06 
  77700 , 32.12 
  77800 , 32.18 
  77900 , 32.24 
  78002 , 32.30 
  78102 , 32.35 
  78203 , 32.41 
  78304 , 32.47 
  78405 , 32.53 
  78505 , 32.59 
  78607 , 32.64 
  78707 , 32.70 
  78808 , 32.76 
  78909 , 32.82 
  79009 , 32.88 
  79111 , 32.93 
  79211 , 32.99 
  79312 , 33.05 
  79413 , 33.11 
  79513 , 33.17 
  79614 , 33.22 
  79715 , 33.28 
  79816 , 33.34 
  79917 , 33.40 
  80018 , 33.46 
  80118 , 33.51 
  80220 , 33.57 
  80320 , 33.63 
  80420 , 33.69 
  80522 , 33.75 
  80622 , 33.80 
  80723 , 33.86 
  80824 , 33.92 
  80925 , 33.98 
  81026 , 34.04 
  81126 , 34.09 
  81227 , 34.15 
  81328 , 34.21 
  81429 , 34.27 
  81529 , 34.33 
  81631 , 34.38 
  81731 , 34.44 
  81831 , 34.50 
  81933 , 34.56 
  82033 , 34.62 
  82135 , 34.67 
  82235 , 34.73 
  82336 , 34.79 
  82437 , 34.85 
  82538 , 34.91 
  82638 , 34.96 
  82739 , 35.02 
  82840 , 35.08 
  82940 , 35.14 
  83042 , 35.20 
  83142 , 35.25 
  83244 , 35.31 
  83344 , 35.37 
  83444 , 35.43 
  83546 , 35.49 
  83646 , 35.54 
  83747 , 35.60 
  83848 , 35.66 
  83949 , 35.72 
  84049 , 35.78 
  84150 , 35.83 
  84251 , 35.89 
  84352 , 35.95 
  84453 , 36.01 
  84553 , 36.07 
  84655 , 36.12 
  84755 , 36.18 
  84856 , 36.24 
  84957 , 36.30 
  85057 , 36.36 
  85158 , 36.41 
  85259 , 36.47 
  85360 , 36.53 
  85460 , 36.59 
  85562 , 36.65 
  85662 , 36.70 
  85763 , 36.76 
  85864 , 36.82 
  85964 , 36.88 
  86066 , 36.94 
  86166 , 36.99 
  86267 , 37.05 
  86368 , 37.11 
  86468 , 37.17 
  86569 , 37.23 
  86670 , 37.28 
  86771 , 37.34 
  86872 , 37.40 
  86973 , 37.46 
  87073 , 37.52 
  87175 , 37.58 
  87275 , 37.63 
  87375 , 37.69 
  87477 , 37.75 
  87577 , 37.81 
  87678 , 37.87 
  87779 , 37.93 
  87880 , 37.98 
  87981 , 38.04 
  88081 , 38.10 
  88182 , 38.16 
  88283 , 38.22 
  88384 , 38.27 
  88484 , 38.33 
  88586 , 38.39 
  88686 , 38.45 
  88786 , 38.51 
  88888 , 38.56 
  88988 , 38.62 
  89090 , 38.68 
  89190 , 38.74 
  89291 , 38.80 
  89392 , 38.85 
  89493 , 38.91 
  89593 , 38.97 
  89694 , 39.03 
  89795 , 39.09 
  89895 , 39.14 
  89997 , 39.20 
  90097 , 39.26 
  90199 , 39.32 
  90299 , 39.38 
  90399 , 39.44 
  90501 , 39.50 
  90601 , 39.55 
  90702 , 39.61 
  90803 , 39.67 
  90904 , 39.73 
  91004 , 39.79 
  91105 , 39.85 
  91206 , 39.91 
  91307 , 39.96 
  91408 , 40.02 
  91508 , 40.08 
  91610 , 40.14 
  91710 , 40.20 
  91811 , 40.25 
  91912 , 40.31 
  92012 , 40.37 
  92113 , 40.43 
  92214 , 40.49 
  92315 , 40.54 
  92416 , 40.60 
  92517 , 40.66 
  92617 , 40.72 
  92718 , 40.78 
  92819 , 40.84 
  92919 , 40.89 
  93021 , 40.95 
  93121 , 41.01 
  93222 , 41.07 
  93323 , 41.13 
  93423 , 41.18 
