Mils, PCT
 29412 , 0.42 
 29512 , 0.42 
 29614 , 0.42 
 29714 , 0.42 
 29815 , 0.42 
 29916 , 0.42 
 30016 , 0.42 
 30117 , 0.42 
 30218 , 0.42 
 30319 , 0.42 
 30419 , 0.42 
 30520 , 0.42 
 30621 , 0.42 
 30722 , 0.42 
 30823 , 0.42 
 30923 , 0.42 
 31024 , 0.42 
 31125 , 0.42 
 31225 , 0.42 
 31326 , 0.42 
 31427 , 0.42 
 31527 , 0.42 
 31629 , 0.42 
 31729 , 0.42 
 31830 , 0.42 
 31931 , 0.42 
 32031 , 0.42 
 32133 , 0.42 
 32233 , 0.42 
 32333 , 0.42 
 32435 , 0.42 
 32535 , 0.42 
 32635 , 0.42 
 32737 , 0.42 
 32837 , 0.42 
 32939 , 0.42 
 33039 , 0.42 
 33139 , 0.42 
 33241 , 0.42 
 33341 , 0.42 
 33442 , 0.42 
 33543 , 0.42 
 33643 , 0.42 
 33744 , 0.42 
 33845 , 0.42 
 33946 , 0.42 
 34046 , 0.42 
 34147 , 0.42 
 34248 , 0.42 
 34349 , 0.42 
 34449 , 0.42 
 34550 , 0.42 
 34651 , 0.42 
 34752 , 0.42 
 34852 , 0.42 
 34953 , 0.42 
 35054 , 0.42 
 35154 , 0.42 
 35256 , 0.42 
 35356 , 0.42 
 35457 , 0.42 
 35558 , 0.42 
 35658 , 0.42 
 35760 , 0.42 
 35860 , 0.42 
 35960 , 0.42 
 36062 , 0.42 
 36162 , 0.42 
 36262 , 0.42 
 36364 , 0.42 
 36464 , 0.42 
 36566 , 0.42 
 36666 , 0.42 
 36766 , 0.42 
 36868 , 0.42 
 36968 , 0.42 
 37069 , 0.42 
 37170 , 0.42 
 37270 , 0.42 
 37371 , 0.42 
 37472 , 0.42 
 37572 , 0.42 
 37673 , 0.42 
 37774 , 0.42 
 37875 , 0.42 
 37976 , 0.42 
 38076 , 0.42 
 38177 , 0.42 
 38278 , 0.42 
 38379 , 0.42 
 38479 , 0.42 
 38580 , 0.42 
 38681 , 0.42 
 38781 , 0.42 
 38883 , 0.42 
 38983 , 0.42 
 39084 , 0.42 
 39185 , 0.42 
 39285 , 0.42 
 39386 , 0.42 
 39487 , 0.42 
 39587 , 0.42 
 39689 , 0.42 
 39789 , 0.42 
 39889 , 0.42 
 39991 , 0.42 
 40091 , 0.42 
 40193 , 0.42 
 40293 , 0.42 
 40393 , 0.42 
 40495 , 0.42 
 40595 , 0.42 
 40696 , 0.42 
 40797 , 0.42 
 40897 , 0.42 
 40998 , 0.42 
 41099 , 0.42 
 41199 , 0.42 
 41300 , 0.42 
 41401 , 0.42 
 41502 , 0.42 
 41603 , 0.42 
 41703 , 0.42 
 41804 , 0.42 
 41905 , 0.42 
 42006 , 0.42 
 42106 , 0.42 
 42207 , 0.42 
 42308 , 0.42 
 42408 , 0.42 
 42509 , 0.42 
 42610 , 0.42 
 42711 , 0.42 
 42812 , 0.42 
 42912 , 0.42 
 43013 , 0.42 
 43114 , 0.42 
 43214 , 0.42 
 43316 , 0.42 
 43416 , 0.42 
 43516 , 0.42 
 43618 , 0.42 
 43718 , 0.42 
 43820 , 0.42 
 43920 , 0.42 
 44020 , 0.42 
 44122 , 0.42 
 44222 , 0.42 
 44322 , 0.42 
 44424 , 0.42 
 44524 , 0.42 
 44625 , 0.42 
