Mils, Light_Value, Delay_Value
  67446  , 13  , 235
  67918  , 13  , 235
  68390  , 13  , 235
  68862  , 13  , 235
  69335  , 13  , 235
  69808  , 13  , 235
  70280  , 13  , 235
  70752  , 13  , 235
  71224  , 13  , 235
  71696  , 13  , 235
  72168  , 13  , 235
  72641  , 13  , 235
  73113  , 13  , 235
  73585  , 13  , 235
  74057  , 13  , 235
  74529  , 13  , 235
  75001  , 13  , 235
  75474  , 13  , 235
  75947  , 13  , 235
  76419  , 13  , 235
  76891  , 13  , 235
  77363  , 13  , 235
  77835  , 13  , 235
  78308  , 13  , 235
  78780  , 13  , 235
  79252  , 13  , 235
  79724  , 13  , 235
  80196  , 13  , 235
  80668  , 13  , 235
  81141  , 13  , 235
  81613  , 13  , 235
  82085  , 13  , 235
  82557  , 13  , 235
  83030  , 13  , 235
  83502  , 13  , 235
  83975  , 13  , 235
  84447  , 13  , 235
  84919  , 13  , 235
  85391  , 14  , 214
  85821  , 13  , 235
  86293  , 13  , 235
  86766  , 13  , 235
  87238  , 13  , 235
  87710  , 13  , 235
  88182  , 13  , 235
  88654  , 13  , 235
  89127  , 13  , 235
  89600  , 13  , 235
  90072  , 13  , 235
  90544  , 13  , 235
  91016  , 13  , 235
  91488  , 13  , 235
  91961  , 13  , 235
  92433  , 13  , 235
  92905  , 13  , 235
  93377  , 13  , 235
  93849  , 13  , 235
  94321  , 13  , 235
  94794  , 14  , 214
  95224  , 13  , 235
  95696  , 13  , 235
  96168  , 13  , 235
  96641  , 13  , 235
  97113  , 13  , 235
  97586  , 13  , 235
  98058  , 13  , 235
  98530  , 13  , 235
  99002  , 13  , 235
  99474  , 13  , 235
  99946  , 13  , 235
  100419  , 13  , 235
  100892  , 13  , 235
  101365  , 13  , 235
  101838  , 13  , 235
  102311  , 14  , 214
  102744  , 13  , 235
  103217  , 13  , 235
  103690  , 13  , 235
  104163  , 13  , 235
  104636  , 13  , 235
  105110  , 13  , 235
  105583  , 13  , 235
  106056  , 13  , 235
  106529  , 13  , 235
  107002  , 14  , 214
  107433  , 13  , 235
  107908  , 14  , 214
  108339  , 13  , 235
  108812  , 13  , 235
  109285  , 13  , 235
  109758  , 13  , 235
  110232  , 13  , 235
  110705  , 13  , 235
  111178  , 14  , 214
  111609  , 13  , 235
  112082  , 13  , 235
  112557  , 13  , 235
  113030  , 13  , 235
  113503  , 13  , 235
  113976  , 13  , 235
  114449  , 13  , 235
  114922  , 13  , 235
  115396  , 13  , 235
  115869  , 13  , 235
  116342  , 13  , 235
  116815  , 13  , 235
  117288  , 13  , 235
  117763  , 13  , 235
  118236  , 13  , 235
  118709  , 13  , 235
  119182  , 13  , 235
  119655  , 13  , 235
  120129  , 13  , 235
  120602  , 13  , 235
  121075  , 13  , 235
  121548  , 13  , 235
  122021  , 13  , 235
  122494  , 13  , 235
  122969  , 13  , 235
  123442  , 13  , 235
  123915  , 13  , 235
